target_word,pos,context_sentence,translation,sentence_source,number_hits_in_corpus_cap,number_hits_in_corpus_tot,is_test,is_test_reduced
相手,NOUN,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,"In addition, the East and West were broadcasting propaganda broadcasts that criticised each other.",https://yourei.jp/相手,20000,31137,True,True
合う,VERB,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,"At this stage, the main mirror is not aligned, and the focus is not aligned.",https://yourei.jp/合う,8552,8552,True,True
上げる,VERB,その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,You can't give anything else for free what you got by sweating.,https://dictionary.goo.ne.jp/word/上げる/example/,16629,16629,False,False
与える,VERB,一間は這入って来た人に冷やかな、不愉快な印象を与える。,One room gives a cold and unpleasant impression to those who crawl in.,https://dictionary.goo.ne.jp/word/与える/example/,20000,88624,False,False
生きる,VERB,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,I think I can live with myself and others with this power.,https://dictionary.goo.ne.jp/word/生きる/example/,15760,15760,False,False
意味,NOUN,この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,"In this sense, it doesn't matter if you say that the conversation has changed direction as he intended.",https://dictionary.goo.ne.jp/word/意味/example/,20000,54918,True,False
入れる,VERB,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,"While saying this, Endo pulled out a pistol when he put his hand in the hiding of his coat.",https://dictionary.goo.ne.jp/word/入れる/example/,20000,36775,False,False
大きい,ADJ,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,"As a result, the size will be larger than if you make the same image into a GIF.",https://yourei.jp/大きい,20000,76803,False,False
教える,VERB,英吉利語を教える報酬は僅かに月額六十円である。,The reward for teaching English language is only 60 yen per month.,https://dictionary.goo.ne.jp/word/教える/example/,16259,16259,False,False
可能,ADJ,現在の旅は非常に多様であり、さまざまに分類することが可能である。,The current journey is very diverse and can be categorised in various ways.,https://yourei.jp/可能,20000,89893,False,False
考える,VERB,私は母の愛というものに就いて考える。,I think about my mother's love.,https://dictionary.goo.ne.jp/word/考える/example/,20000,119599,False,False
関係,NOUN,あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,I learned about the man who will be in your relationship on a chance.,https://dictionary.goo.ne.jp/word/関係/example/,20000,92047,False,False
技術,NOUN,技術は何によらず練習するより他に上達する道はない。,There is no other way to improve your skills than practising no matter what.,https://dictionary.goo.ne.jp/word/技術/example/,20000,41343,False,False
経済,NOUN,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,"For the economy of California, of course, the cost of a solid gold smoke pipe is nothing.",https://dictionary.goo.ne.jp/word/経済/example/,20000,40284,False,False
現場,NOUN,這入りこんで現場を見届けてやろう。,I'll crawl in and watch the scene.,https://dictionary.goo.ne.jp/word/現場/example/,14742,14742,True,False
子供,NOUN,子供らは古い時計のかかった茶の間に集まった。,The children gathered in the tea room with an old clock.,https://dictionary.goo.ne.jp/word/子供/example/,20000,37657,False,False
時間,NOUN,俺はそこで二時間ほど調べられた。,I was researched there for about two hours.,https://dictionary.goo.ne.jp/word/時間/example/,20000,77591,True,True
市場,NOUN,この四月以来市場には、前代未聞だと云う恐慌が来ている。,"Since this April, there has been an unprecedented panic in the market.",https://dictionary.goo.ne.jp/word/市場/example/,20000,21990,False,False
社会,NOUN,僕は勿論社会科学に何の知識も持っていなかった。,"Of course, I didn't have any knowledge in social science.",https://dictionary.goo.ne.jp/word/社会/example/,20000,48850,False,False
情報,NOUN,水の色が真赤になる情報があったであります。,There was information that the colour of the water became bright red.,https://dictionary.goo.ne.jp/word/情報/example/,20000,48026,True,False
進める,VERB,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,"If you want to move forward with realism, you have to take this point into consideration.",https://dictionary.goo.ne.jp/word/進める/example/,20000,32624,False,False
する,VERB,自分が自分の心でするべき事だ。,It's something you should do with your own heart.,https://dictionary.goo.ne.jp/word/する/example/,20000,7909226,True,False
高い,ADJ,そして弾丸が始終高い所ばかりを飛ぶようになった。,And the bullets started to fly high all the time.,https://dictionary.goo.ne.jp/word/高い/example/,20000,108757,False,False
出す,VERB,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,"Among the tools that produce sound, sound tools are things that make sounds, but it is difficult to say that they are musical instruments.",https://yourei.jp/出す,20000,61118,True,True
立つ,VERB,しかし自分ながら、なぜそんなに腹が立つのだか分からない。,But I don't know why I'm so angry.,https://dictionary.goo.ne.jp/word/立つ/example/,20000,26938,False,False
強い,VERB,本人の意思が強ければ止められるわ。,"If the person's will is strong, he can stop it.",https://yourei.jp/強い,20000,67185,True,False
手,NOUN,一方で投機にも手を出しては失敗を重ねていた。,"On the other hand, he also messed in speculation and made a lot of mistakes.",https://yourei.jp/手,20000,56163,False,False
出る,VERB,成東の停車場をおりて、町形をした家並みを出る。,Get off the Naruto station and leave the town-shaped houses.,https://dictionary.goo.ne.jp/word/出る/example/,20000,75298,True,False
電話,NOUN,電話をかけることを習いました。,I learned to make a phone call.,https://dictionary.goo.ne.jp/word/電話/example/,13679,13679,False,False
取る,VERB,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,"In fact, even with their lifelong hard work, they are not allowed to take a monthly salary of more than 30 yen.",https://dictionary.goo.ne.jp/word/取る/example/,20000,43714,False,False
乗る,VERB,いざ金がいるとなると、ポルジイはどんな危険な相談にでも乗る。,"When it comes to money, Porgi will take any dangerous counselling.",https://dictionary.goo.ne.jp/word/乗る/example/,18304,18304,False,False
場合,NOUN,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,Because this fight is usually not an easy struggle in today's case.,https://dictionary.goo.ne.jp/word/場合/example/,20000,181960,True,True
入る,VERB,自分の意思で、内部に入ろうと思わなければ、中には入れない。,"If you don't want to go inside by your own will, you can't go inside.",https://yourei.jp/入る,20000,122350,False,False
初め,NOUN,十一月の初めだった。,It was the beginning of November.,https://dictionary.goo.ne.jp/word/初め/example/,15129,15129,False,False
始める,VERB,空からはちらほらと、たゆたいながら雪が落ち始める。,The snow starts to fall from the sky.,https://dictionary.goo.ne.jp/word/始める/example/,20000,95614,False,False
場所,NOUN,一人のこらず死んだような場所もあります。,There are also places where one person seems to have died.,https://dictionary.goo.ne.jp/word/場所/example/,20000,67630,False,False
早い,ADJ,一番早く人口が20万人に到達した都市であったと思われる。,"It seems to have been the earliest city with a population of 200,000.",https://yourei.jp/早い,19675,19675,True,True
一つ,NUM,これは結果的に、後のメンバー昇格する要因の一つだったと思われる。,"As a result, this seems to have been one of the factors for the promotion of later members.",https://yourei.jp/一つ,20000,58481,False,False
開く,VERB,当駅ではすべてのドアが開く。,All doors open at this station.,https://yourei.jp/開く,20000,41479,True,True
文化,NOUN,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,"However, I don't know how it will change when human culture progresses and human emotions progress.",https://dictionary.goo.ne.jp/word/文化/example/,20000,50951,False,False
外,NOUN,学校の外では「広場の王様」とあだ名されたという。,"It is said that he was nicknamed ""King of the Square"" outside the school.",https://yourei.jp/外,20000,30338,True,False
前,NOUN,原作では創造主の下僕でもあり、モコナの前では謙遜した態度をとる。,"In the original story, he is also a servant of the creator, and he has a humble attitude in front of Mokona.",https://yourei.jp/前,20000,150345,False,False
見える,VERB,利用する側から見ると全く複数のコンピュータが存在するように見える。,"From the user's point of view, it seems that there are quite multiple computers.",https://yourei.jp/見える,20000,29744,False,False
認める,VERB,これを認める研究者は少ない。,There are few researchers who recognise this.,https://yourei.jp/認める,20000,56703,False,False
見る,VERB,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,"When the old woman looked at the check of 300 fu, she suddenly became more amiable.",https://dictionary.goo.ne.jp/word/見る/example/,20000,144394,False,False
持つ,VERB,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,"Also, if you say that the hand of the chopsticks is different, I will fix it to the right immediately, but after a while, I will hold it to the left again.",https://dictionary.goo.ne.jp/word/持つ/example/,20000,186872,True,True
求める,VERB,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,"Due to the impact of the response to the prisoner abuse case, voices began to ask for retirement.",https://yourei.jp/求める,20000,52662,True,False
もの,NOUN,軽量なものでは5kgを切るような車体を作成することも可能である。,It is also possible to create a car body that is less than 5 kg with a lightweight one.,https://yourei.jp/もの,20000,478114,False,False
やる,VERB,画家はただ自分の本当の仕事だけをやればよい事となってしまった。,It has become a good thing for a painter to just do his real job.,https://yourei.jp/やる,20000,37056,False,False
良い,ADJ,味噌を食事の一部にすることは非常に良いと考えられている。,It is considered very good to make miso a part of the meal.,https://yourei.jp/良い,20000,35348,False,False
飛ぶ,VERB,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,"My heart went through all kinds of reason like a light, but I couldn't catch anything.",https://dictionary.goo.ne.jp/word/飛ぶ/example/,6599,6599,False,False
積む,VERB,その後プロに転向すると、地元大阪を中心に大会へ出場し経験を積む。,"After that, when I turned to a professional, I participated in the tournament mainly in my hometown Osaka and gained experience.",https://yourei.jp/積む,7296,7296,True,False
走る,VERB,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,"From the circle heading for Shinnosuke, one person left and tried to run forward.",https://yourei.jp/走る,20000,21607,False,False
掛ける,VERB,罪人はおとなしく椅子に腰を掛ける。,The sinner sits quietly on the chair.,https://dictionary.goo.ne.jp/word/掛ける/example/,7773,7773,False,False
青い,ADJ,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,"After acquiring the crystal, fragments of the blue star will be placed in the same position.",https://yourei.jp/青い,3935,3935,False,False
汚い,ADJ,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,"It's a thin and unclean side town with shells, and it's a house that seems to be good as a favela.",https://dictionary.goo.ne.jp/word/汚い/example/,615,615,True,True
鋭い,ADJ,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,"I cut anything in half with a sharp sickle, but only konjac can't be cut.",https://yourei.jp/鋭い,3949,3949,False,False
全然,ADV,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,Writers and readers need to redo the land division agreement once again.,https://dictionary.goo.ne.jp/word/全然/example/,1220,1220,True,True
バリバリ,ADV,自分の将来の目的に向かってバリバリ勉強していた。,I was studying hard towards my future goals.,https://yourei.jp/バリバリ,81,81,False,False
サッパリ,ADV,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,"The laughter of Kimio that I can hear again is cheerful, bright and refreshing.",https://yourei.jp/サッパリ,21,21,False,False
頭,NOUN,このような動物は頭の真ん中に角が生えている。,Such animals have horns in the middle of their heads.,https://yourei.jp/頭,20000,30525,True,False
卵,NOUN,卵から産まれて成虫になるまでの間の成長過程のものを指す。,It refers to the growth process between being born from an egg to becoming an adult.,https://yourei.jp/卵,9573,9573,False,False
足,NOUN,ハードルに手や足をかけても問題ない。,There is no problem even if you put your hands or feet on the hurdles.,https://yourei.jp/足,16614,16614,False,False
